symbol,buy_time,buy_datetime,buy_price,sell_time,sell_datetime,sell_price,profit_pct,hold_hours
BNBUSDT,1667924999999,2022-11-08 16:29:59,378.53,1667929499999,2022-11-08 17:44:59,360.14,-4.8582675085197975,1.25
BNBUSDT,1669192199999,2022-11-23 08:29:59,291.9,1669250699999,2022-11-24 00:44:59,295.93,1.3806097978759952,16.25
BNBUSDT,1701671399999,2023-12-04 06:29:59,234.15,1701688499999,2023-12-04 11:14:59,226.58,-3.232970318172109,4.75
BNBUSDT,1717277399999,2024-06-01 21:29:59,608.53,1717282799999,2024-06-01 22:59:59,601.58,-1.1420965276978838,1.5
BNBUSDT,1761235199999,2025-10-23 15:59:59,1130.0,1761236099999,2025-10-23 16:14:59,1126.45,-0.3141592920353942,0.25
BNXUSDT,1667216699999,2022-10-31 11:44:59,151.67,1667222099999,2022-10-31 13:14:59,149.33,-1.542823234654167,1.5
BNXUSDT,1696603499999,2023-10-06 14:44:59,0.2204,1696661999999,2023-10-07 06:59:59,0.2246,1.905626134301262,16.25
BNXUSDT,1701679499999,2023-12-04 08:44:59,0.3015,1701680399999,2023-12-04 08:59:59,0.3007,-0.26533996683249333,0.25
BNXUSDT,1708597799999,2024-02-22 10:29:59,0.3021,1708609499999,2024-02-22 13:44:59,0.2988,-1.0923535253227308,3.25
BNXUSDT,1712042099999,2024-04-02 07:14:59,0.643,1712045699999,2024-04-02 08:14:59,0.6155,-4.276827371695173,1.0
BNXUSDT,1713814199999,2024-04-22 19:29:59,0.7902,1713833099999,2024-04-23 00:44:59,0.7983,1.0250569476081999,5.25
BNXUSDT,1715692499999,2024-05-14 13:14:59,0.965,1715709599999,2024-05-14 17:59:59,0.9599,-0.5284974093264242,4.75
BNXUSDT,1719325799999,2024-06-25 14:29:59,1.171,1719377099999,2024-06-26 04:44:59,1.1751,0.35012809564474745,14.25
BNXUSDT,1722331799999,2024-07-30 09:29:59,1.4884,1722385799999,2024-07-31 00:29:59,1.4753,-0.8801397473797292,15.0
BNXUSDT,1739036699999,2025-02-08 17:44:59,0.4874,1739069999999,2025-02-09 02:59:59,0.3422,-29.79072630283135,9.25
