timestamp,datetime,symbol,price,boll_15m_upper,boll_30m_middle,boll_4h_middle,current_oi,min_oi_3d,volume_ratio
1617770699999,2021-04-07 04:44:59,THETAUSDT,12.3859,12.334526240121624,12.056429499999995,6.093251750000002,0.0,0.0,1.0530050965130864
1617771599999,2021-04-07 04:59:59,THETAUSDT,12.4346,12.339971524816535,12.054900499999992,6.093251750000002,0.0,0.0,1.0530050965130864
1617772499999,2021-04-07 05:14:59,THETAUSDT,12.5134,12.346572402983455,12.054900499999992,6.093251750000002,0.0,0.0,1.0530050965130864
1617773399999,2021-04-07 05:29:59,THETAUSDT,12.5916,12.354468469287728,12.053618499999994,6.093251750000002,0.0,0.0,1.0530050965130864
1617774299999,2021-04-07 05:44:59,THETAUSDT,12.7282,12.364800666300091,12.053618499999994,6.093251750000002,0.0,0.0,1.0530050965130864
1617775199999,2021-04-07 05:59:59,THETAUSDT,12.8165,12.376547675980342,12.052969249999991,6.093251750000002,0.0,0.0,1.0530050965130864
1617776099999,2021-04-07 06:14:59,THETAUSDT,12.653,12.385094200946567,12.052969249999991,6.093251750000002,0.0,0.0,1.0530050965130864
1617776999999,2021-04-07 06:29:59,THETAUSDT,12.5883,12.392281996778829,12.051805749999993,6.093251750000002,0.0,0.0,1.0530050965130864
1617777899999,2021-04-07 06:44:59,THETAUSDT,12.9862,12.406552219324318,12.051805749999993,6.093251750000002,0.0,0.0,1.0530050965130864
1617778799999,2021-04-07 06:59:59,THETAUSDT,13.0175,12.41949187746413,12.051169749999993,6.093251750000002,0.0,0.0,1.0530050965130864
1617779699999,2021-04-07 07:14:59,THETAUSDT,13.2708,12.438935866273187,12.051169749999993,6.093251750000002,0.0,0.0,1.0530050965130864
1617780599999,2021-04-07 07:29:59,THETAUSDT,13.2721,12.458288493191754,12.051222749999992,6.093251750000002,0.0,0.0,1.0530050965130864
1617781499999,2021-04-07 07:44:59,THETAUSDT,13.2287,12.476309426591376,12.051222749999992,6.093251750000002,0.0,0.0,1.0530050965130864
1617801299999,2021-04-07 13:14:59,THETAUSDT,12.7522,12.709602623561103,12.046758999999998,6.146944500000003,0.0,0.0,1.2792306015406798
1617802199999,2021-04-07 13:29:59,THETAUSDT,12.8023,12.715495538349243,12.046132499999997,6.146944500000003,0.0,0.0,1.2792306015406798
1618574399999,2021-04-16 11:59:59,THETAUSDT,14.346,12.86037878666982,12.381628,7.5267262499999985,0.0,0.0,1.990017517940463
1618575299999,2021-04-16 12:14:59,THETAUSDT,14.676,12.912261402647978,12.381628,7.5267262499999985,0.0,0.0,1.990017517940463
1618576199999,2021-04-16 12:29:59,THETAUSDT,14.3354,12.949351133406642,12.387298249999997,7.5267262499999985,0.0,0.0,1.990017517940463
1618577099999,2021-04-16 12:44:59,THETAUSDT,15.3304,13.021696687358855,12.387298249999997,7.5267262499999985,0.0,0.0,1.990017517940463
1618577999999,2021-04-16 12:59:59,THETAUSDT,15.0222,13.07696428812069,12.394438999999998,7.5267262499999985,0.0,0.0,1.990017517940463
1618578899999,2021-04-16 13:14:59,THETAUSDT,15.6479,13.152990940528108,12.394438999999998,7.5267262499999985,0.0,0.0,1.990017517940463
1674259199999,2023-01-20 23:59:59,THETAUSDT,1.0076,0.985930037932087,0.9070110000000008,0.8374240000000006,0.0,0.0,1.0962560085411162
1674260099999,2023-01-21 00:14:59,THETAUSDT,1.0095,0.9867800683169996,0.9070110000000008,0.8374240000000006,0.0,0.0,1.0962560085411162
1674260999999,2023-01-21 00:29:59,THETAUSDT,1.0156,0.9877137155470509,0.9074602500000007,0.8374240000000006,0.0,0.0,1.0962560085411162
1674261899999,2023-01-21 00:44:59,THETAUSDT,1.0137,0.9886069541095858,0.9074602500000007,0.8374240000000006,0.0,0.0,1.0962560085411162
1674262799999,2023-01-21 00:59:59,THETAUSDT,1.0093,0.9894223003824751,0.9078942500000008,0.8374240000000006,0.0,0.0,1.0962560085411162
1674263699999,2023-01-21 01:14:59,THETAUSDT,1.0198,0.9904005458822056,0.9078942500000008,0.8374240000000006,0.0,0.0,1.0962560085411162
1674264599999,2023-01-21 01:29:59,THETAUSDT,1.0268,0.9914913119758219,0.9083617500000005,0.8374240000000006,0.0,0.0,1.0962560085411162
1674265499999,2023-01-21 01:44:59,THETAUSDT,1.0299,0.9926139771797305,0.9083617500000005,0.8374240000000006,0.0,0.0,1.0962560085411162
1674266399999,2023-01-21 01:59:59,THETAUSDT,1.0365,0.993839705915164,0.9088325000000007,0.8374240000000006,0.0,0.0,1.0962560085411162
1674267299999,2023-01-21 02:14:59,THETAUSDT,1.0355,0.9950254828787752,0.9088325000000007,0.8374240000000006,0.0,0.0,1.0962560085411162
1674268199999,2023-01-21 02:29:59,THETAUSDT,1.031,0.9961196355719376,0.9093147500000006,0.8374240000000006,0.0,0.0,1.0962560085411162
1674269099999,2023-01-21 02:44:59,THETAUSDT,1.0306,0.9972006935772905,0.9093147500000006,0.8374240000000006,0.0,0.0,1.0962560085411162
1674269999999,2023-01-21 02:59:59,THETAUSDT,1.0345,0.9983358676548858,0.9097935000000004,0.8374240000000006,0.0,0.0,1.0962560085411162
1674270899999,2023-01-21 03:14:59,THETAUSDT,1.0201,0.9992304861274626,0.9097935000000004,0.8374240000000006,0.0,0.0,1.0962560085411162
1674271799999,2023-01-21 03:29:59,THETAUSDT,1.027,1.0002182407139988,0.9102395000000005,0.8374240000000006,0.0,0.0,1.0962560085411162
1674272699999,2023-01-21 03:44:59,THETAUSDT,1.0279,1.0012089456002868,0.9102395000000005,0.8374240000000006,0.0,0.0,1.0962560085411162
1689911999999,2023-07-21 03:59:59,THETAUSDT,0.8314,0.801991890016661,0.7859705000000003,0.7711800000000001,0.0,0.0,1.0115335498761904
